Account,Link,Followers,Audience Country,Authentic engagement,Engagement avg,Category1,Hashtags,Cost Story,Cost Post
cristiano,https://www.instagram.com/cristiano/,400100000.0,India,7800000.0,9500000.0,Sports with a ball,#foodlover#training#motivational#foodheaven#baby#instaphoto#styleinspiration,468000.0,1092000.0
kyliejenner,https://www.instagram.com/kyliejenner/,308800000.0,United States,6200000.0,10100000.0,Fashion,#fun#follow#beautyblogger#happiness#landscapephotography#new#sunset#entrepreneur#marathon,372000.0,868000.0000000001
leomessi,https://www.instagram.com/leomessi/,306300000.0,Argentina,4800000.0,6500000.0,Sports with a ball,#weekend,288000.0,672000.0000000001
kendalljenner,https://www.instagram.com/kendalljenner/,217800000.0,United States,3400000.0,5400000.0,Modeling,#cardio#money#instagood#style#entrepreneur,204000.0,476000.00000000006
selenagomez,https://www.instagram.com/selenagomez/,295800000.0,United States,2700000.0,3600000.0,Music,#instatravel#fashionista#loveit#shopping#foodporn,162000.0,378000.00000000006
zendaya,https://www.instagram.com/zendaya/,127800000.0,United States,5800000.0,7800000.0,Cinema,#entrepreneur#boxing#fitness#modeling,348000.0,812000.0000000001
kimkardashian,https://www.instagram.com/kimkardashian/,284900000.0,United States,2200000.0,3300000.0,Fashion,#flex#cute#girl#instapic#fashionstyle,132000.0,308000.00000000006
beyonce,https://www.instagram.com/beyonce/,237200000.0,United States,2500000.0,3600000.0,Music,#summer#party,150000.0,350000.00000000006
arianagrande,https://www.instagram.com/arianagrande/,294100000.0,United States,1700000.0,2400000.0,Music,#happyme#inspiration#travel#foodlover#foodstylist#loveit#musician#beautifuldestinations#instalike,102000.0,238000.00000000003
billieeilish,https://www.instagram.com/billieeilish/,100000000.0,United States,5300000.0,7000000.0,Music,#foodie#skateboarding#beautyblogger#girl#trendy,318000.0,742000.0000000001
neymarjr,https://www.instagram.com/neymarjr/,169800000.0,Brazil,2800000.0,4000000.0,Sports with a ball,#foodporn#like4like#sundayfunday#health#travelphotography#hockey#dog#trailrunning#photooftheday,168000.0,392000.00000000006
lalalalisa_m,https://www.instagram.com/lalalalisa_m/,73100000.0,Indonesia,7500000.0,8600000.0,Music,#familytime#love#happynewyear#yoga,450000.0,1050000.0
jennierubyjane,https://www.instagram.com/jennierubyjane/,62300000.0,Indonesia,6400000.0,7600000.0,Music,#musician,384000.0,896000.0000000001
tomholland2013,https://www.instagram.com/tomholland2013/,60900000.0,United States,5900000.0,7200000.0,Cinema,#happybirthday#money#surfing#photoart#transportation#style#cars#weekendvibes,354000.0,826000.0000000001
virat.kohli,https://www.instagram.com/virat.kohli/,182600000.0,India,2100000.0,2400000.0,Sports with a ball,#baby#transportation#family#education,126000.0,294000.0
abcdefghi__lmnopqrstuvwxyz,https://www.instagram.com/abcdefghi__lmnopqrstuvwxyz/,32100000.0,United States,13400000.0,13400000.0,Undefined,#happynewyear#travel#swimming#beauty#foodporn#foodstagrammer#doglover,804000.0,1876000.0000000002
khaby00,https://www.instagram.com/khaby00/,69200000.0,Iran,4000000.0,6100000.0,Undefined,#blackandwhite#holiday#loveit#foodexplorer#modeling#follow4follow#landscapephotography#telecom,240000.0,560000.0
khloekardashian,https://www.instagram.com/khloekardashian/,219400000.0,United States,1500000.0,1900000.0,Clothing,#cardio#music#foodfeed#instafit#gains#musiclover,90000.0,210000.00000000003
sooyaaa__,https://www.instagram.com/sooyaaa__/,56100000.0,Indonesia,6300000.0,7200000.0,Music,#hockey,378000.0,882000.0000000001
justinbieber,https://www.instagram.com/justinbieber/,219800000.0,India,1200000.0,1800000.0,Music,#getfit,72000.0,168000.00000000003
thv,https://www.instagram.com/thv/,34100000.0,,10400000.0,10400000.0,Undefined,#motivation#fashionable#photooftheday#foodcoma#sundayfunday,624000.0,1456000.0000000002
roses_are_rosie,https://www.instagram.com/roses_are_rosie/,55100000.0,Indonesia,5500000.0,6400000.0,Music,#manufacturing#happiness#foodstylist#success,330000.0,770000.0000000001
badgalriri,https://www.instagram.com/badgalriri/,120900000.0,United States,1700000.0,2800000.0,Music,#foodlover#foodcoma#styleinspiration#loveit#new#happyholidays#education#love#foodgrammer#entrepreneur,102000.0,238000.00000000003
